time,kommune_bydel_no,kommune_bydel_name,bydel_no,bydel_name,kommune_no,kommune_name,fylke_no,fylke_name,population,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02
04:00:00,030101,Gamle Oslo,030101,Gamle Oslo,0301,Oslo,03,Oslo,58671,67,92,105,114,120,124,127,137
04:00:00,030102,Grünerløkka,030102,Grünerløkka,0301,Oslo,03,Oslo,62423,59,71,84,96,96,101,107,110
04:00:00,030103,Sagene,030103,Sagene,0301,Oslo,03,Oslo,45089,47,59,60,65,66,70,76,80
04:00:00,030104,St. Hanshaugen,030104,St. Hanshaugen,0301,Oslo,03,Oslo,38945,33,42,46,47,50,52,52,57
04:00:00,030105,Frogner,030105,Frogner,0301,Oslo,03,Oslo,59269,67,77,86,100,102,107,109,114
04:00:00,030106,Ullern,030106,Ullern,0301,Oslo,03,Oslo,34569,51,61,64,69,73,75,76,78
04:00:00,030107,Vestre Aker,030107,Vestre Aker,0301,Oslo,03,Oslo,50157,75,82,87,93,95,98,101,107
04:00:00,030108,Nordre Aker,030108,Nordre Aker,0301,Oslo,03,Oslo,52327,59,67,68,75,78,82,83,89
04:00:00,030109,Bjerke,030109,Bjerke,0301,Oslo,03,Oslo,33422,26,34,35,38,39,41,46,50
04:00:00,030110,Grorud,030110,Grorud,0301,Oslo,03,Oslo,27707,24,25,29,32,37,43,44,51
04:00:00,030111,Stovner,030111,Stovner,0301,Oslo,03,Oslo,33316,30,40,45,58,67,71,76,85
04:00:00,030112,Alna,030112,Alna,0301,Oslo,03,Oslo,49801,45,57,65,78,81,90,95,103
04:00:00,030113,Østensjø,030113,Østensjø,0301,Oslo,03,Oslo,50806,63,76,80,93,96,102,105,114
04:00:00,030114,Nordstrand,030114,Nordstrand,0301,Oslo,03,Oslo,52459,56,61,69,86,89,93,95,103
04:00:00,030115,Søndre Nordstrand,030115,Søndre Nordstrand,0301,Oslo,03,Oslo,39066,26,36,43,52,53,56,60,72
04:00:00,030116,Sentrum,030116,Sentrum,0301,Oslo,03,Oslo,1471,3,3,3,3,3,3,3,3
04:00:00,030117,Marka,030117,Marka,0301,Oslo,03,Oslo,1610,0,0,1,1,1,1,2,2
04:00:00,030199,Ukjent Bydel,030199,Ukjent,0301,Oslo,03,Oslo,2386,12,15,19,22,23,24,24,24
04:00:00,1101,Eigersund,NA,NA,1101,Eigersund,11,Rogaland,14811,6,6,9,9,9,10,10,10
04:00:00,1103,Stavanger,NA,NA,1103,Stavanger,11,Rogaland,143574,87,88,97,98,98,106,107,110
04:00:00,1106,Haugesund,NA,NA,1106,Haugesund,11,Rogaland,37357,41,47,47,47,47,47,48,48
04:00:00,1108,Sandnes,NA,NA,1108,Sandnes,11,Rogaland,79537,34,35,39,39,39,41,41,42
04:00:00,1111,Sokndal,NA,NA,1111,Sokndal,11,Rogaland,3280,2,2,2,2,2,2,2,2
04:00:00,1112,Lund,NA,NA,1112,Lund,11,Rogaland,3202,0,0,0,0,0,0,0,0
04:00:00,1114,Bjerkreim,NA,NA,1114,Bjerkreim,11,Rogaland,2787,0,0,0,0,0,0,0,0
04:00:00,1119,Hå,NA,NA,1119,Hå,11,Rogaland,18991,4,4,5,5,5,5,5,6
04:00:00,1120,Klepp,NA,NA,1120,Klepp,11,Rogaland,19588,4,4,5,5,5,5,5,5
04:00:00,1121,Time,NA,NA,1121,Time,11,Rogaland,18916,9,10,10,10,10,10,10,11
04:00:00,1122,Gjesdal,NA,NA,1122,Gjesdal,11,Rogaland,12002,5,5,7,7,7,7,7,7
04:00:00,1124,Sola,NA,NA,1124,Sola,11,Rogaland,27153,10,10,11,11,11,11,11,11
04:00:00,1127,Randaberg,NA,NA,1127,Randaberg,11,Rogaland,11221,6,6,7,7,7,7,7,7
04:00:00,1130,Strand,NA,NA,1130,Strand,11,Rogaland,12968,7,7,11,11,11,11,11,12
04:00:00,1133,Hjelmeland,NA,NA,1133,Hjelmeland,11,Rogaland,2574,0,0,0,0,0,0,0,0
04:00:00,1134,Suldal,NA,NA,1134,Suldal,11,Rogaland,3804,0,0,0,0,0,0,0,0
04:00:00,1135,Sauda,NA,NA,1135,Sauda,11,Rogaland,4595,3,3,3,3,3,3,3,3
04:00:00,1144,Kvitsøy,NA,NA,1144,Kvitsøy,11,Rogaland,517,0,0,0,0,0,0,0,0
04:00:00,1145,Bokn,NA,NA,1145,Bokn,11,Rogaland,852,0,0,0,0,0,0,0,0
04:00:00,1146,Tysvær,NA,NA,1146,Tysvær,11,Rogaland,11065,13,14,15,15,15,15,17,18
04:00:00,1149,Karmøy,NA,NA,1149,Karmøy,11,Rogaland,42186,28,30,30,30,30,31,31,32
04:00:00,1151,Utsira,NA,NA,1151,Utsira,11,Rogaland,198,0,0,0,0,0,0,0,0
04:00:00,1160,Vindafjord,NA,NA,1160,Vindafjord,11,Rogaland,8714,6,6,6,6,6,6,6,8
04:00:00,1505,Kristiansund,NA,NA,1505,Kristiansund,15,Møre og Romsdal,24179,8,8,11,11,11,11,11,12
04:00:00,1506,Molde,NA,NA,1506,Molde,15,Møre og Romsdal,31967,6,6,6,6,6,6,9,9
04:00:00,1507,Ålesund,NA,NA,1507,Ålesund,15,Møre og Romsdal,66258,20,20,20,20,20,20,21,22
04:00:00,1511,Vanylven,NA,NA,1511,Vanylven,15,Møre og Romsdal,3117,1,1,1,1,1,1,1,1
04:00:00,1514,Sande,NA,NA,1514,Sande,15,Møre og Romsdal,2461,1,1,1,1,1,3,4,4
04:00:00,1515,Herøy (Møre og Romsdal),NA,NA,1515,Herøy (Møre og Romsdal),15,Møre og Romsdal,8900,1,2,3,3,3,3,3,3
04:00:00,1516,Ulstein,NA,NA,1516,Ulstein,15,Møre og Romsdal,8571,5,5,5,5,5,4,4,6
04:00:00,1517,Hareid,NA,NA,1517,Hareid,15,Møre og Romsdal,5175,1,1,2,2,2,2,2,2
04:00:00,1520,Ørsta,NA,NA,1520,Ørsta,15,Møre og Romsdal,10825,5,5,6,6,6,6,6,6
04:00:00,1525,Stranda,NA,NA,1525,Stranda,15,Møre og Romsdal,4523,0,0,0,0,0,0,0,0
04:00:00,1528,Sykkylven,NA,NA,1528,Sykkylven,15,Møre og Romsdal,7625,0,0,0,0,0,0,0,0
04:00:00,1531,Sula,NA,NA,1531,Sula,15,Møre og Romsdal,9310,4,4,4,4,4,4,5,5
04:00:00,1532,Giske,NA,NA,1532,Giske,15,Møre og Romsdal,8462,3,4,4,4,4,4,4,4
04:00:00,1535,Vestnes,NA,NA,1535,Vestnes,15,Møre og Romsdal,6532,0,0,0,0,0,0,0,0
04:00:00,1539,Rauma,NA,NA,1539,Rauma,15,Møre og Romsdal,7468,7,8,8,8,8,8,9,10
04:00:00,1547,Aukra,NA,NA,1547,Aukra,15,Møre og Romsdal,3509,0,0,0,0,0,0,0,0
04:00:00,1554,Averøy,NA,NA,1554,Averøy,15,Møre og Romsdal,5788,0,0,0,0,0,0,0,0
04:00:00,1557,Gjemnes,NA,NA,1557,Gjemnes,15,Møre og Romsdal,2629,0,0,0,0,0,0,0,0
04:00:00,1560,Tingvoll,NA,NA,1560,Tingvoll,15,Møre og Romsdal,3025,1,1,1,1,1,1,1,1
04:00:00,1563,Sunndal,NA,NA,1563,Sunndal,15,Møre og Romsdal,7036,2,2,2,2,2,2,2,2
04:00:00,1566,Surnadal,NA,NA,1566,Surnadal,15,Møre og Romsdal,5920,0,0,0,0,0,0,1,1
04:00:00,1573,Smøla,NA,NA,1573,Smøla,15,Møre og Romsdal,2150,0,0,0,0,0,0,0,0
04:00:00,1576,Aure,NA,NA,1576,Aure,15,Møre og Romsdal,3507,0,0,0,1,1,1,1,1
04:00:00,1577,Volda,NA,NA,1577,Volda,15,Møre og Romsdal,10473,4,4,4,4,4,4,4,4
04:00:00,1578,Fjord,NA,NA,1578,Fjord,15,Møre og Romsdal,2549,1,1,1,1,1,1,1,1
04:00:00,1579,Hustadvika,NA,NA,1579,Hustadvika,15,Møre og Romsdal,13279,1,1,1,1,1,1,1,1
04:00:00,1804,Bodø,NA,NA,1804,Bodø,18,Nordland,52357,14,15,16,16,16,19,23,26
04:00:00,1806,Narvik,NA,NA,1806,Narvik,18,Nordland,21845,0,0,0,0,1,2,2,2
04:00:00,1811,Bindal,NA,NA,1811,Bindal,18,Nordland,1426,0,0,0,0,0,0,0,0
04:00:00,1812,Sømna,NA,NA,1812,Sømna,18,Nordland,1975,1,1,1,2,2,2,2,2
04:00:00,1813,Brønnøy,NA,NA,1813,Brønnøy,18,Nordland,7917,0,0,0,1,1,1,3,4
04:00:00,1815,Vega,NA,NA,1815,Vega,18,Nordland,1200,1,2,3,3,3,3,3,3
04:00:00,1816,Vevelstad,NA,NA,1816,Vevelstad,18,Nordland,462,0,0,0,0,0,0,0,0
04:00:00,1818,Herøy (Nordland),NA,NA,1818,Herøy (Nordland),18,Nordland,1777,0,0,0,0,0,0,0,0
04:00:00,1820,Alstahaug,NA,NA,1820,Alstahaug,18,Nordland,7447,0,2,2,2,2,2,2,2
04:00:00,1822,Leirfjord,NA,NA,1822,Leirfjord,18,Nordland,2294,0,1,1,2,2,2,2,2
04:00:00,1824,Vefsn,NA,NA,1824,Vefsn,18,Nordland,13278,0,0,0,0,0,0,0,1
04:00:00,1825,Grane,NA,NA,1825,Grane,18,Nordland,1482,0,0,0,0,0,0,0,1
04:00:00,1826,Hattfjelldal,NA,NA,1826,Hattfjelldal,18,Nordland,1297,0,0,0,0,0,0,0,0
04:00:00,1827,Dønna,NA,NA,1827,Dønna,18,Nordland,1371,2,3,5,5,5,5,5,5
04:00:00,1828,Nesna,NA,NA,1828,Nesna,18,Nordland,1761,0,0,0,0,0,0,0,0
04:00:00,1832,Hemnes,NA,NA,1832,Hemnes,18,Nordland,4454,0,0,0,0,0,0,0,0
04:00:00,1833,Rana,NA,NA,1833,Rana,18,Nordland,26184,2,2,3,3,3,3,3,3
04:00:00,1834,Lurøy,NA,NA,1834,Lurøy,18,Nordland,1890,0,0,0,0,0,0,0,0
04:00:00,1835,Træna,NA,NA,1835,Træna,18,Nordland,435,0,0,0,0,0,0,0,0
04:00:00,1836,Rødøy,NA,NA,1836,Rødøy,18,Nordland,1213,0,0,0,0,0,0,0,0
04:00:00,1837,Meløy,NA,NA,1837,Meløy,18,Nordland,6288,1,2,2,2,2,2,4,4
04:00:00,1838,Gildeskål,NA,NA,1838,Gildeskål,18,Nordland,1950,0,0,0,0,0,0,0,0
04:00:00,1839,Beiarn,NA,NA,1839,Beiarn,18,Nordland,1017,0,0,0,0,0,0,0,0
04:00:00,1840,Saltdal,NA,NA,1840,Saltdal,18,Nordland,4671,0,0,0,0,0,0,0,0
04:00:00,1841,Fauske,NA,NA,1841,Fauske,18,Nordland,9739,0,0,0,0,1,1,1,1
04:00:00,1845,Sørfold,NA,NA,1845,Sørfold,18,Nordland,1926,0,0,0,0,0,0,0,0
04:00:00,1848,Steigen,NA,NA,1848,Steigen,18,Nordland,2608,1,1,1,1,1,1,1,1
04:00:00,1851,Lødingen,NA,NA,1851,Lødingen,18,Nordland,2034,0,0,0,0,0,0,0,0
04:00:00,1853,Evenes,NA,NA,1853,Evenes,18,Nordland,1348,0,0,0,0,0,0,0,0
04:00:00,1856,Røst,NA,NA,1856,Røst,18,Nordland,498,0,0,0,0,0,0,0,0
04:00:00,1857,Værøy,NA,NA,1857,Værøy,18,Nordland,728,0,0,0,0,0,0,0,0
04:00:00,1859,Flakstad,NA,NA,1859,Flakstad,18,Nordland,1272,0,0,0,0,0,0,1,1
04:00:00,1860,Vestvågøy,NA,NA,1860,Vestvågøy,18,Nordland,11433,1,1,2,2,2,2,2,2
04:00:00,1865,Vågan,NA,NA,1865,Vågan,18,Nordland,9608,2,2,2,3,3,3,3,3
04:00:00,1866,Hadsel,NA,NA,1866,Hadsel,18,Nordland,8061,3,3,3,3,3,3,3,3
04:00:00,1867,Bø,NA,NA,1867,Bø,18,Nordland,2569,0,0,0,0,0,0,0,0
04:00:00,1868,Øksnes,NA,NA,1868,Øksnes,18,Nordland,4410,0,0,0,0,0,0,0,0
04:00:00,1870,Sortland,NA,NA,1870,Sortland,18,Nordland,10566,1,1,1,1,1,1,2,2
04:00:00,1871,Andøy,NA,NA,1871,Andøy,18,Nordland,4663,0,0,0,0,0,0,0,0
04:00:00,1874,Moskenes,NA,NA,1874,Moskenes,18,Nordland,1015,0,0,0,0,0,0,0,0
04:00:00,1875,Hamarøy,NA,NA,1875,Hamarøy,18,Nordland,2766,0,0,0,0,0,0,0,0
04:00:00,3001,Halden,NA,NA,3001,Halden,30,Viken,31373,5,6,7,7,7,8,8,8
04:00:00,3002,Moss,NA,NA,3002,Moss,30,Viken,49273,17,20,20,21,21,23,23,23
04:00:00,3003,Sarpsborg,NA,NA,3003,Sarpsborg,30,Viken,56732,19,19,19,19,19,19,20,20
04:00:00,3004,Fredrikstad,NA,NA,3004,Fredrikstad,30,Viken,82385,33,34,34,34,34,34,35,35
04:00:00,3005,Drammen,NA,NA,3005,Drammen,30,Viken,101386,55,63,65,73,73,80,88,104
04:00:00,3006,Kongsberg,NA,NA,3006,Kongsberg,30,Viken,27723,14,14,15,15,15,15,15,17
04:00:00,3007,Ringerike,NA,NA,3007,Ringerike,30,Viken,30641,2,2,3,4,4,4,4,4
04:00:00,3011,Hvaler,NA,NA,3011,Hvaler,30,Viken,4668,0,1,1,1,1,1,1,1
04:00:00,3012,Aremark,NA,NA,3012,Aremark,30,Viken,1325,0,0,0,0,0,0,0,0
04:00:00,3013,Marker,NA,NA,3013,Marker,30,Viken,3595,0,0,0,0,0,0,0,0
04:00:00,3014,Indre Østfold,NA,NA,3014,Indre Østfold,30,Viken,44792,25,28,28,28,28,28,29,29
04:00:00,3015,Skiptvet,NA,NA,3015,Skiptvet,30,Viken,3805,1,1,1,1,1,1,1,1
04:00:00,3016,Rakkestad,NA,NA,3016,Rakkestad,30,Viken,8255,0,0,0,0,0,0,0,0
04:00:00,3017,Råde,NA,NA,3017,Råde,30,Viken,7508,1,1,1,1,1,1,1,1
04:00:00,3018,Våler (Viken),NA,NA,3018,Våler (Viken),30,Viken,5736,1,1,1,1,1,1,1,1
04:00:00,3019,Vestby,NA,NA,3019,Vestby,30,Viken,18042,15,15,15,15,15,15,15,15
04:00:00,3020,Nordre Follo,NA,NA,3020,Nordre Follo,30,Viken,59288,51,61,63,67,67,71,75,80
04:00:00,3021,Ås,NA,NA,3021,Ås,30,Viken,20439,11,13,14,15,15,15,15,15
04:00:00,3022,Frogn,NA,NA,3022,Frogn,30,Viken,15877,14,15,15,15,16,16,16,16
04:00:00,3023,Nesodden,NA,NA,3023,Nesodden,30,Viken,19616,26,33,34,36,36,37,37,40
04:00:00,3024,Bærum,NA,NA,3024,Bærum,30,Viken,127731,186,220,230,241,248,266,279,290
04:00:00,3025,Asker,NA,NA,3025,Asker,30,Viken,94441,70,77,83,87,87,96,104,118
04:00:00,3026,Aurskog-Høland,NA,NA,3026,Aurskog-Høland,30,Viken,17390,2,2,2,4,4,4,4,4
04:00:00,3027,Rælingen,NA,NA,3027,Rælingen,30,Viken,18530,8,13,13,14,15,15,15,15
04:00:00,3028,Enebakk,NA,NA,3028,Enebakk,30,Viken,11110,16,17,17,19,19,19,20,21
04:00:00,3029,Lørenskog,NA,NA,3029,Lørenskog,30,Viken,41460,44,49,52,56,56,58,58,59
04:00:00,3030,Lillestrøm,NA,NA,3030,Lillestrøm,30,Viken,85983,77,93,94,98,98,101,105,111
04:00:00,3031,Nittedal,NA,NA,3031,Nittedal,30,Viken,24249,34,37,37,39,39,40,40,42
04:00:00,3032,Gjerdrum,NA,NA,3032,Gjerdrum,30,Viken,6890,2,4,4,4,4,5,5,6
04:00:00,3033,Ullensaker,NA,NA,3033,Ullensaker,30,Viken,39625,26,32,33,36,36,38,39,42
04:00:00,3034,Nes,NA,NA,3034,Nes,30,Viken,23092,7,9,9,9,9,10,10,10
04:00:00,3035,Eidsvoll,NA,NA,3035,Eidsvoll,30,Viken,25436,20,21,23,26,26,26,26,27
04:00:00,3036,Nannestad,NA,NA,3036,Nannestad,30,Viken,14139,8,11,11,12,13,13,13,14
04:00:00,3037,Hurdal,NA,NA,3037,Hurdal,30,Viken,2854,1,2,2,2,2,2,2,2
04:00:00,3038,Hole,NA,NA,3038,Hole,30,Viken,6799,7,7,7,7,7,8,9,9
04:00:00,3039,Flå,NA,NA,3039,Flå,30,Viken,1050,1,1,1,1,1,1,1,1
04:00:00,3040,Nesbyen,NA,NA,3040,Nesbyen,30,Viken,3273,2,2,3,3,3,4,4,5
04:00:00,3041,Gol,NA,NA,3041,Gol,30,Viken,4608,4,4,6,7,7,7,7,8
04:00:00,3042,Hemsedal,NA,NA,3042,Hemsedal,30,Viken,2486,7,7,7,7,7,8,8,8
04:00:00,3043,Ål,NA,NA,3043,Ål,30,Viken,4674,5,6,8,9,9,11,11,11
04:00:00,3044,Hol,NA,NA,3044,Hol,30,Viken,4441,24,31,34,37,37,39,39,43
04:00:00,3045,Sigdal,NA,NA,3045,Sigdal,30,Viken,3467,0,0,0,0,0,0,0,0
04:00:00,3046,Krødsherad,NA,NA,3046,Krødsherad,30,Viken,2212,0,0,0,0,0,0,0,0
04:00:00,3047,Modum,NA,NA,3047,Modum,30,Viken,14115,3,5,6,6,6,7,7,8
04:00:00,3048,Øvre Eiker,NA,NA,3048,Øvre Eiker,30,Viken,19423,2,3,3,3,3,3,3,4
04:00:00,3049,Lier,NA,NA,3049,Lier,30,Viken,26811,13,17,17,17,17,19,20,21
04:00:00,3050,Flesberg,NA,NA,3050,Flesberg,30,Viken,2688,1,1,1,1,1,1,1,1
04:00:00,3051,Rollag,NA,NA,3051,Rollag,30,Viken,1390,0,0,0,0,0,0,0,0
04:00:00,3052,Nore og Uvdal,NA,NA,3052,Nore og Uvdal,30,Viken,2439,1,1,1,1,1,1,1,1
04:00:00,3053,Jevnaker,NA,NA,3053,Jevnaker,30,Viken,6852,5,5,5,5,5,5,5,5
04:00:00,3054,Lunner,NA,NA,3054,Lunner,30,Viken,9048,2,2,2,4,4,4,5,9
04:00:00,3401,Kongsvinger,NA,NA,3401,Kongsvinger,34,Innlandet,17829,0,1,1,1,1,1,1,1
04:00:00,3403,Hamar,NA,NA,3403,Hamar,34,Innlandet,31369,15,30,35,36,41,51,60,65
04:00:00,3405,Lillehammer,NA,NA,3405,Lillehammer,34,Innlandet,28345,13,22,23,25,25,26,26,27
04:00:00,3407,Gjøvik,NA,NA,3407,Gjøvik,34,Innlandet,30560,7,7,7,8,9,11,13,14
04:00:00,3411,Ringsaker,NA,NA,3411,Ringsaker,34,Innlandet,34768,25,33,33,38,41,47,53,54
04:00:00,3412,Løten,NA,NA,3412,Løten,34,Innlandet,7674,3,6,6,7,8,9,11,11
04:00:00,3413,Stange,NA,NA,3413,Stange,34,Innlandet,21064,2,7,15,18,19,23,29,30
04:00:00,3414,Nord-Odal,NA,NA,3414,Nord-Odal,34,Innlandet,5016,0,0,0,0,0,0,0,0
04:00:00,3415,Sør-Odal,NA,NA,3415,Sør-Odal,34,Innlandet,7905,8,8,8,9,9,10,10,10
04:00:00,3416,Eidskog,NA,NA,3416,Eidskog,34,Innlandet,6106,3,3,3,3,3,3,3,3
04:00:00,3417,Grue,NA,NA,3417,Grue,34,Innlandet,4612,0,1,3,3,3,3,3,4
04:00:00,3418,Åsnes,NA,NA,3418,Åsnes,34,Innlandet,7203,1,1,1,1,2,2,3,3
04:00:00,3419,Våler (Innlandet),NA,NA,3419,Våler (Innlandet),34,Innlandet,3662,1,1,1,1,1,1,1,1
04:00:00,3420,Elverum,NA,NA,3420,Elverum,34,Innlandet,21254,5,7,7,7,7,9,10,11
04:00:00,3421,Trysil,NA,NA,3421,Trysil,34,Innlandet,6627,0,0,0,0,0,1,1,1
04:00:00,3422,Åmot,NA,NA,3422,Åmot,34,Innlandet,4356,1,1,1,1,1,1,1,1
04:00:00,3423,Stor-Elvdal,NA,NA,3423,Stor-Elvdal,34,Innlandet,2419,0,0,0,0,0,0,0,0
04:00:00,3424,Rendalen,NA,NA,3424,Rendalen,34,Innlandet,1780,0,0,0,0,0,0,0,0
04:00:00,3425,Engerdal,NA,NA,3425,Engerdal,34,Innlandet,1268,1,1,2,2,2,2,2,2
04:00:00,3426,Tolga,NA,NA,3426,Tolga,34,Innlandet,1562,0,0,0,0,0,0,0,0
04:00:00,3427,Tynset,NA,NA,3427,Tynset,34,Innlandet,5578,0,0,0,0,0,0,0,0
04:00:00,3428,Alvdal,NA,NA,3428,Alvdal,34,Innlandet,2432,1,1,1,1,1,1,1,1
04:00:00,3429,Folldal,NA,NA,3429,Folldal,34,Innlandet,1545,0,0,0,0,0,0,0,0
04:00:00,3430,Os,NA,NA,3430,Os,34,Innlandet,1891,0,0,0,0,0,0,0,0
04:00:00,3431,Dovre,NA,NA,3431,Dovre,34,Innlandet,2553,1,2,2,2,2,3,4,5
04:00:00,3432,Lesja,NA,NA,3432,Lesja,34,Innlandet,1975,0,0,0,0,0,1,1,1
04:00:00,3433,Skjåk,NA,NA,3433,Skjåk,34,Innlandet,2197,1,1,1,1,1,1,1,1
04:00:00,3434,Lom,NA,NA,3434,Lom,34,Innlandet,2228,0,1,3,3,3,3,3,3
04:00:00,3435,Vågå,NA,NA,3435,Vågå,34,Innlandet,3570,1,1,1,1,1,1,1,1
04:00:00,3436,Nord-Fron,NA,NA,3436,Nord-Fron,34,Innlandet,5723,6,9,10,12,12,13,13,13
04:00:00,3437,Sel,NA,NA,3437,Sel,34,Innlandet,5739,34,35,35,35,35,35,35,36
04:00:00,3438,Sør-Fron,NA,NA,3438,Sør-Fron,34,Innlandet,3119,0,0,0,1,1,1,1,1
04:00:00,3439,Ringebu,NA,NA,3439,Ringebu,34,Innlandet,4392,4,4,6,6,6,6,7,7
04:00:00,3440,Øyer,NA,NA,3440,Øyer,34,Innlandet,5100,0,0,0,0,0,1,1,1
