kommune_bydel_no,kommune_bydel_name,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26
030101,Gamle Oslo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
030102,Grünerløkka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
030103,Sagene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
030104,St. Hanshaugen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
030105,Frogner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
030106,Ullern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
030107,Vestre Aker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
030108,Nordre Aker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
030109,Bjerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
030110,Grorud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
030111,Stovner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
030112,Alna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
030113,Østensjø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
030114,Nordstrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
030115,Søndre Nordstrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
030116,Sentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
030117,Marka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
030199,Ukjent Bydel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1101,Eigersund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1103,Stavanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
1106,Haugesund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
1108,Sandnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
1111,Sokndal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1112,Lund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1114,Bjerkreim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1119,Hå,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1120,Klepp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1121,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1122,Gjesdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1124,Sola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1127,Randaberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1130,Strand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1133,Hjelmeland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1134,Suldal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1135,Sauda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1144,Kvitsøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1145,Bokn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1146,Tysvær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
1149,Karmøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
1151,Utsira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1160,Vindafjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1505,Kristiansund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1506,Molde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1507,Ålesund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
1511,Vanylven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1514,Sande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1515,Herøy (Møre og Romsdal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1516,Ulstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1517,Hareid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1520,Ørsta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1525,Stranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1528,Sykkylven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1531,Sula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1532,Giske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1535,Vestnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1539,Rauma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1547,Aukra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1554,Averøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1557,Gjemnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1560,Tingvoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1563,Sunndal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1566,Surnadal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1573,Smøla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1576,Aure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1577,Volda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1578,Fjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1579,Hustadvika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1804,Bodø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
1806,Narvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1811,Bindal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1812,Sømna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1813,Brønnøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1815,Vega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1816,Vevelstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1818,Herøy (Nordland),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1820,Alstahaug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1822,Leirfjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1824,Vefsn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1825,Grane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1826,Hattfjelldal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1827,Dønna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1828,Nesna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1832,Hemnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1833,Rana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1834,Lurøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1835,Træna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1836,Rødøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1837,Meløy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1838,Gildeskål,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1839,Beiarn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1840,Saltdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1841,Fauske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1845,Sørfold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1848,Steigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1851,Lødingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1853,Evenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1856,Røst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1857,Værøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1859,Flakstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1860,Vestvågøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1865,Vågan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1866,Hadsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1867,Bø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1868,Øksnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1870,Sortland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1871,Andøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1874,Moskenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1875,Hamarøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3001,Halden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3002,Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
3003,Sarpsborg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
3004,Fredrikstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
3005,Drammen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
3006,Kongsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
3007,Ringerike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3011,Hvaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3012,Aremark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3013,Marker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3014,Indre Østfold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
3015,Skiptvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3016,Rakkestad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3017,Råde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3018,Våler (Viken),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3019,Vestby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
3020,Nordre Follo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
3021,Ås,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
3022,Frogn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
3023,Nesodden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
3024,Bærum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186
3025,Asker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
3026,Aurskog-Høland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3027,Rælingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
3028,Enebakk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
3029,Lørenskog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
3030,Lillestrøm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
3031,Nittedal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
3032,Gjerdrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3033,Ullensaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
3034,Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3035,Eidsvoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
3036,Nannestad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
3037,Hurdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3038,Hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3039,Flå,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3040,Nesbyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3041,Gol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3042,Hemsedal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3043,Ål,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3044,Hol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
3045,Sigdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3046,Krødsherad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3047,Modum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3048,Øvre Eiker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3049,Lier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
3050,Flesberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3051,Rollag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3052,Nore og Uvdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3053,Jevnaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3054,Lunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3401,Kongsvinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3403,Hamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
3405,Lillehammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
3407,Gjøvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3411,Ringsaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
3412,Løten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3413,Stange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3414,Nord-Odal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3415,Sør-Odal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
3416,Eidskog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3417,Grue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3418,Åsnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3419,Våler (Innlandet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3420,Elverum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3421,Trysil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3422,Åmot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3423,Stor-Elvdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3424,Rendalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3425,Engerdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3426,Tolga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3427,Tynset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3428,Alvdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3429,Folldal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3430,Os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3431,Dovre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3432,Lesja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3433,Skjåk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3434,Lom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
